,Sentiment,Open,High,Low,Close,Volume,year,month,quarter,weekno,pct_change_1w,pct_change_4w,pct_change_8w
2017-01-06,0.03615683758700336,963.6580200195312,1191.0999755859375,883.9439697265625,902.2009887695312,1762148992,2017,1,1,1,,,
2017-01-13,-0.03890934452718618,903.4869995117188,942.7239990234376,755.7559814453125,823.9840087890625,1398173008,2017,1,1,2,-8.669573737349278,,
2017-01-20,-0.07513044029474258,825.1420288085938,917.4990234375,812.4559936523438,895.0260009765625,819957496,2017,1,1,3,8.62176831464292,,
2017-01-27,-0.1232267778544199,895.5490112304688,937.5250244140624,891.68701171875,919.75,791051600,2017,1,1,4,2.7623777405864303,,
2017-02-03,0.13429489654748616,919.8109741210938,1033.8699951171875,919.1480102539062,1029.9100341796875,869849588,2017,2,1,5,11.97717142480974,14.155276595776357,
2017-02-10,0.14700803832402307,1031.3299560546875,1088.989990234375,946.6909790039062,988.6740112304688,1326568016,2017,2,1,6,-4.003847091562984,19.987038666373724,
2017-02-17,-0.1356710306032985,988.8980102539062,1053.1700439453125,976.0020141601562,1046.2099609375,756854400,2017,2,1,7,5.81950663752393,16.891571842156615,
2017-02-24,0.12692362933742757,1049.2099609375,1200.3900146484375,1041.68994140625,1173.6800537109375,1129156800,2017,2,1,8,12.183987682473663,27.608595130300362,
2017-03-03,0.11871550707590013,1170.4100341796875,1280.31005859375,1124.5899658203125,1274.989990234375,1486044000,2017,3,1,9,8.63181888480733,23.796248984979652,41.319950443999495
2017-03-10,0.0751191459692918,1277.4300537109375,1279.4000244140625,1077.25,1116.719970703125,1870991976,2017,3,1,10,-12.413432320527951,12.951282021997802,35.526898433899355
2017-03-17,-0.008799123125416902,1116.3199462890625,1257.97998046875,1099.5699462890625,1100.22998046875,2779050960,2017,3,1,11,-1.476645055787118,5.163401377180832,22.927152872462877
2017-03-24,-0.08353731272712586,1099.68994140625,1122.4300537109375,934.3579711914062,937.52001953125,2772290016,2017,3,1,12,-14.788722705790825,-20.12132978088854,1.9320488753737486
2017-03-31,-0.05044363034623006,936.5399780273438,1074.9200439453125,903.7130126953124,1071.7900390625,2537052000,2017,3,1,13,14.321829585930711,-15.937376193402253,4.066375070922534
2017-04-07,0.11419206048761095,1071.7099609375,1188.3699951171875,1061.0899658203125,1176.9000244140625,3063603072,2017,4,2,14,9.80695672853078,5.389001297527263,19.03822807573694
2017-04-14,0.07458761608114048,1172.6500244140625,1208.0699462890625,1156.43994140625,1167.5400390625,1779218032,2017,4,2,15,-0.7953084507940744,6.117817164468908,11.597105997373337
2017-04-21,0.08939791216331272,1167.300048828125,1240.7900390625,1164.9599609375,1222.050048828125,1785856016,2017,4,2,16,4.668791471116918,30.349221709328077,4.121224942372614
2017-04-28,0.026383089451562782,1222.7099609375,1331.280029296875,1203.93994140625,1316.47998046875,2292950000,2017,4,2,17,7.727173836388923,22.83002570356798,3.254142428737672
2017-05-05,0.046742053258986706,1317.8399658203125,1618.030029296875,1314.9200439453125,1555.449951171875,4490163904,2017,5,2,18,18.152191772641824,32.16500288087592,39.28737660100325
